standard_var_name,description,ccmh_var_name
SDS_25,Date of Birth <inactive>,SDS_25
SDS_26,OBSOLETE: Gender <inactive>,SDS_26
SDS_88,Gender Identity,SDS_88
SDS_90,Sex at birth <inactive>,SDS_90
SDS_28,OBSOLETE: Race / Ethnicity <inactive>,SDS_28
SDS_95,Race / Ethnicity,SDS_95
SDS_31,Country of Origin,SDS_31
SDS_32,International Student,SDS_32
SDS_27,OBSOLETE: Sexual Orientation <inactive>,SDS_27
SDS_91,Sexual Orientation,SDS_91
SDS_94,Sexual Attraction <inactive>,SDS_94
SDS_93,Sexual Experience <inactive>,SDS_93
SDS_33,Relationship Status,SDS_33
SDS_37,Academic Status <inactive>,SDS_37
SDS_1037,Academic Status,SDS_1037
SDS_39,Graduate Program <inactive>,SDS_39
SDS_41,Graduate Year <inactive>,SDS_41
SDS_46,Did you transfer from another campus / institution to this school?,SDS_46
SDS_117,Fraternity or Sorority,SDS_117
SDS_42,Housing <inactive>,SDS_42
SDS_1042,Housing,SDS_1042
SDS_44_1,Living with answer: Alone,SDS_44_01
SDS_44_2,"Living with answer: Spouse, partner, or significant other",SDS_44_02
SDS_44_3,Living with answer: Roommate(s),SDS_44_03
SDS_44_4,Living with answer: Children,SDS_44_04
SDS_44_5,Living with answer: Parent(s)  or guardian(s),SDS_44_05
SDS_44_6,Living with answer: Family other,SDS_44_06
SDS_44_7,Living with answer: Other (please specify),SDS_44_07
SDS_1049,Extra-Curricular Hours,SDS_1049
SDS_1055,Work Hours,SDS_1055
SDS_34,OBSOLETE: Religion <inactive>,SDS_34
SDS_97,Religion,SDS_97
SDS_36,Religion Importance,SDS_36
SDS_60,"Are you registered, with the office for disability services on this campus, as having a documented and diagnosed disability?",SDS_60
SDS_61_1,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: OBSOLETE: No / None",SDS_61_01
SDS_61_2,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Attention Deficit/Hyperactivity Disorders",SDS_61_02
SDS_61_3,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Deaf or Hard of Hearing",SDS_61_03
SDS_61_4,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Learning Disorders",SDS_61_04
SDS_61_5,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Mobility Impairments",SDS_61_05
SDS_61_6,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Neurological Disorders",SDS_61_06
SDS_61_7,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Physical/health related Disorders",SDS_61_07
SDS_61_8,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Psychological Disorder/Condition",SDS_61_08
SDS_61_9,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Visual Impairments",SDS_61_09
SDS_61_10,"OBSOLETE: If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) <inactive> answer: Other (please specify)",SDS_61_10
SDS_1061_1,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Difficulty hearing",SDS_1061_01
SDS_1061_2,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Difficulty seeing",SDS_1061_02
SDS_1061_3,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Difficulty speaking or language impairment",SDS_1061_03
SDS_1061_4,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Mobility limitation/ orthopedic impairment",SDS_1061_04
SDS_1061_5,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Traumatic brain injury",SDS_1061_05
SDS_1061_6,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Specific learning disabilities",SDS_1061_06
SDS_1061_7,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: ADD or ADHD",SDS_1061_07
SDS_1061_8,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Autism spectrum disorders",SDS_1061_08
SDS_1061_9,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Cognitive difficulties or intellectual disability",SDS_1061_09
SDS_1061_10,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Health impairment/ condition, including chronic conditions",SDS_1061_10
SDS_1061_11,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Psychological or psychiatric condition",SDS_1061_11
SDS_1061_12,"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) answer: Other",SDS_1061_12
SDS_20_1,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: OBSOLETE: No / None,SDS_20_01
SDS_20_2,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Attention Deficit/Hyperactivity Disorders,SDS_20_02
SDS_20_3,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Deaf or Hard of Hearing,SDS_20_03
SDS_20_4,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Learning Disorders,SDS_20_04
SDS_20_5,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Mobility Impairments,SDS_20_05
SDS_20_6,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Neurological Disorders,SDS_20_06
SDS_20_7,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Physical/health related Disorders,SDS_20_07
SDS_20_8,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Psychological Disorder/Condition,SDS_20_08
SDS_20_9,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Visual Impairments,SDS_20_09
SDS_20_10,OBSOLETE: Do you have a diagnosed and documented disability? (check all that apply) <inactive> answer: Other (please specify),SDS_20_10
SDS_50,OBSOLETE: Athlete <inactive>,SDS_50
SDS_1151,Intramural,SDS_1151
SDS_1152,Club,SDS_1152
SDS_1153,Varsity,SDS_1153
SDS_56,First Generation,SDS_56
SDS_57,Financial Stress Now,SDS_57
SDS_98,Military Service,SDS_98
SDS_52,OBSOLETE: Military Service <inactive>,SDS_52
SDS_53,Military Stress,SDS_53
SDS_19,Binge Drinking,SDS_19
SDS_96,OBSOLETE: Smoked Marijuana <inactive>,SDS_96
SDS_1096,Used Marijuana,SDS_1096
SDS_1,Prior Counseling,SDS_01
SDS_2,Prior Meds,SDS_02
SDS_64,Prior Hospitalization (How many),SDS_64
SDS_65,Prior Hospitalization (Last time),SDS_65
SDS_66,Need to Reduce D&A (How many),SDS_66
SDS_67,Need to Reduce D&A (Last time),SDS_67
SDS_68,Others Concern Alcohol (How many),SDS_68
SDS_69,Others Concern Alcohol (Last time),SDS_69
SDS_70,Prior D&A Treatment (How many),SDS_70
SDS_71,Prior D&A Treatment (Last time),SDS_71
SDS_72,Self-Injury (How many),SDS_72
SDS_73,Self-Injury (Last time),SDS_73
SDS_74,Considered Suicide (How many),SDS_74
SDS_75,Considered Suicide (Last time),SDS_75
SDS_76,Suicide Attempt (How many),SDS_76
SDS_77,Suicide Attempt (Last time),SDS_77
SDS_78,Considered Harming (How many),SDS_78
SDS_79,Considered Harming (Last time),SDS_79
SDS_80,Harmed Another (How many),SDS_80
SDS_81,Harmed Another (Last time),SDS_81
SDS_82,Unwanted Sexual Exp. (How many),SDS_82
SDS_83,Unwanted Sexual Exp. (Last time),SDS_83
SDS_84,Harassment/Abuse (How many),SDS_84
SDS_85,Harassment/Abuse (Last time),SDS_85
SDS_86,PTSD Experience (How many),SDS_86
SDS_87,PTSD Experience (Last time),SDS_87
SDS_111,Disability,SDS_111
SDS_112,Gender,SDS_112
SDS_113,Nationality / Country of Origin,SDS_113
SDS_114,Race / Ethnicity / Culture,SDS_114
SDS_115,Religion,SDS_115
SDS_116,Sexual Orientation,SDS_116
SDS_119,Enough food to eat,SDS_119
SDS_120,Housing / Utilities,SDS_120
SDS_121,Basic transportation needs,SDS_121
SDS_122,Necessary medical care,SDS_122
SDS_123,"Educational materials (books, technology)",SDS_123
SDS_3,OBSOLETE: Prior Hospitalization <inactive>,SDS_03
SDS_4,OBSOLETE: Need to Reduce D&A <inactive>,SDS_04
SDS_5,OBSOLETE: Other Concern Alcohol <inactive>,SDS_05
SDS_6,OBSOLETE: Prior D&A Treatment <inactive>,SDS_06
SDS_7,OBSOLETE: Self-Injury <inactive>,SDS_07
SDS_8,OBSOLETE: Considered Suicide <inactive>,SDS_08
SDS_9,OBSOLETE: Suicide Attempt <inactive>,SDS_09
SDS_10,OBSOLETE: Considering Other Harm <inactive>,SDS_10
SDS_62,OBSOLETE: Considered Harming <inactive>,SDS_62
SDS_63,OBSOLETE: Harmed Another <inactive>,SDS_63
SDS_11,OBSOLETE: Harmed Another <inactive>,SDS_11
SDS_12,OBSOLETE: Unwanted Sexual Exp. <inactive>,SDS_12
SDS_13,OBSOLETE: Harassment/Abuse <inactive>,SDS_13
SDS_14,OBSOLETE: PTSD Experiences <inactive>,SDS_14
SDS_15,OBSOLETE: PTSD Symptoms <inactive>,SDS_15
SDS_59,OBSOLETE: PTSD Experience <inactive>,SDS_59
SDS_100_1,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Academics,SDS_100_01
SDS_100_2,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Career / Employment,SDS_100_02
SDS_100_3,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Discrimination / Harassment,SDS_100_03
SDS_100_4,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Financial,SDS_100_04
SDS_100_5,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Food or housing insecurity,SDS_100_05
SDS_100_6,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Grief / loss of someone,SDS_100_06
SDS_100_7,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Health concerns (others),SDS_100_07
SDS_100_8,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Health concerns (self),SDS_100_08
SDS_100_9,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Loneliness or isolation,SDS_100_09
SDS_100_10,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Mental health,SDS_100_10
SDS_100_11,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Missed experiences or opportunities,SDS_100_11
SDS_100_12,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Motivation or focus,SDS_100_12
SDS_100_13,"Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Relationships (significant other, friends, family)",SDS_100_13
SDS_100_14,Which area(s) of your life have been negatively impacted by COVID-19? (check all that apply) <inactive> answer: Other (please specify),SDS_100_14
SDS_102,Seeking Services Due To COVID-19 <inactive>,SDS_102
SDS_103,How many times have you had COVID-19? <inactive>,SDS_103
SDS_99_1,Please select the traumatic event(s) you have experienced <inactive> answer: Childhood physical abuse,SDS_99_01
SDS_99_2,Please select the traumatic event(s) you have experienced <inactive> answer: Childhood sexual abuse,SDS_99_02
SDS_99_3,Please select the traumatic event(s) you have experienced <inactive> answer: Childhood emotional abuse,SDS_99_03
SDS_99_4,"Please select the traumatic event(s) you have experienced <inactive> answer: Physical attack (e.g., mugged, beaten up, shot, stabbed, threatened with weapon)",SDS_99_04
SDS_99_5,"Please select the traumatic event(s) you have experienced <inactive> answer: Sexual violence (rape or attempted rape, sexually assaulted, stalked, abused by intimate partner, etc.)",SDS_99_05
SDS_99_6,Please select the traumatic event(s) you have experienced <inactive> answer: Military combat or war zone experiences,SDS_99_06
SDS_99_7,Please select the traumatic event(s) you have experienced <inactive> answer: Kidnapped or taken hostage,SDS_99_07
SDS_99_8,"Please select the traumatic event(s) you have experienced <inactive> answer: Serious accident, fire, or explosion (e.g., an industrial, farm, car, plane, or boating accident)",SDS_99_08
SDS_99_9,Please select the traumatic event(s) you have experienced <inactive> answer: Terrorist attack,SDS_99_09
SDS_99_24,Please select the traumatic event(s) you have experienced <inactive> answer: School / mass shooting,SDS_99_24
SDS_99_10,Please select the traumatic event(s) you have experienced <inactive> answer: Near drowning,SDS_99_10
SDS_99_11,Please select the traumatic event(s) you have experienced <inactive> answer: Diagnosed with life threatening illness,SDS_99_11
SDS_99_12,"Please select the traumatic event(s) you have experienced <inactive> answer: Natural disaster (e.g., flood, quake, hurricane, etc.)",SDS_99_12
SDS_99_13,Please select the traumatic event(s) you have experienced <inactive> answer: Imprisonment or Torture,SDS_99_13
SDS_99_14,Please select the traumatic event(s) you have experienced <inactive> answer: Animal attack,SDS_99_14
SDS_99_15,Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Other experienced event (please specify below),SDS_99_15
SDS_99_16,"Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Witnessed the serious injury or unnatural death of a person due to an accident, war or disaster",SDS_99_16
SDS_99_17,Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Unexpectedly witnessed a dead body or body part,SDS_99_17
SDS_99_18,Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Other witnessed (please specify below),SDS_99_18
SDS_99_19,Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Learned that one's child or close loved one has a life threatening disease,SDS_99_19
SDS_99_20,"Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Learned about the violent personal assault, serious accident or serious injury of a close family member or friend",SDS_99_20
SDS_99_21,Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Learned about the sudden unexpected death of a very close family member or friend,SDS_99_21
